User,Party,Duration,Direction,Date
User3,Party4,02:30,1,27-02-2024
User5,Party2,01:00,0,28-02-2024
User1,Party2,03:30,0,29-02-2024
User1,Party3,04:00,1,01-03-2024
User2,Party1,03:00,0,02-03-2024
User7,Party5,00:30,1,03-03-2024
User3,Party2,01:00,0,04-03-2024
User4,Party1,00:15,1,05-03-2024
User6,Party5,04:00,1,06-03-2024
User8,Party5,04:45,0,07-03-2024
User7,Party2,02:45,0,08-03-2024
User1,Party3,01:00,1,09-03-2024
User6,Party2,00:15,0,10-03-2024
User8,Party1,03:30,0,11-03-2024
User6,Party3,00:30,0,12-03-2024
User4,Party4,00:30,0,13-03-2024
User10,Party2,00:30,1,14-03-2024
User7,Party4,04:30,0,15-03-2024
User8,Party5,01:30,0,16-03-2024
User8,Party4,01:15,0,17-03-2024
User10,Party4,00:45,1,18-03-2024
User3,Party4,01:45,1,19-03-2024
User5,Party4,01:15,1,20-03-2024
User6,Party4,00:15,1,21-03-2024
User6,Party1,03:15,0,22-03-2024
User9,Party2,00:45,1,23-03-2024
User1,Party4,04:00,0,24-03-2024
User4,Party1,03:30,1,25-03-2024
User5,Party2,00:15,1,26-03-2024
User5,Party5,00:30,0,27-03-2024
User1,Party5,02:15,0,28-03-2024
User6,Party5,02:45,1,29-03-2024
User5,Party1,00:00,0,30-03-2024
User4,Party5,03:30,1,31-03-2024
User3,Party5,02:45,1,01-04-2024
User7,Party1,02:15,1,02-04-2024
User10,Party4,01:45,0,03-04-2024
User9,Party3,00:15,0,04-04-2024
User4,Party4,04:45,0,05-04-2024
User9,Party2,04:15,1,06-04-2024
User10,Party4,03:45,1,07-04-2024
User8,Party5,01:00,1,08-04-2024
User7,Party3,03:30,0,09-04-2024
User1,Party3,00:30,0,10-04-2024
User4,Party3,04:45,1,11-04-2024
User9,Party1,01:45,0,12-04-2024
User9,Party5,00:30,0,13-04-2024
User5,Party1,00:15,1,14-04-2024
User7,Party2,01:30,1,15-04-2024
User5,Party2,01:00,0,16-04-2024
User2,Party4,02:45,1,17-04-2024
User4,Party3,04:30,0,18-04-2024
User3,Party3,04:45,1,19-04-2024
User4,Party2,04:30,1,20-04-2024
User1,Party4,02:15,1,21-04-2024
User10,Party2,04:15,0,22-04-2024
User5,Party1,04:00,0,23-04-2024
User7,Party3,01:45,0,24-04-2024
User8,Party5,04:30,1,25-04-2024
User6,Party4,02:30,0,26-04-2024
User8,Party1,01:30,1,27-04-2024
User8,Party5,02:15,0,28-04-2024
User7,Party4,01:00,0,29-04-2024
User5,Party5,04:00,0,30-04-2024
User9,Party1,01:45,0,01-05-2024
User1,Party1,03:30,0,02-05-2024
User7,Party2,02:00,1,03-05-2024
User8,Party3,00:15,1,04-05-2024
User8,Party4,01:15,0,05-05-2024
User2,Party3,03:00,1,06-05-2024
User5,Party1,03:30,1,07-05-2024
User9,Party1,03:00,0,08-05-2024
User6,Party4,02:00,0,09-05-2024
User6,Party3,00:45,0,10-05-2024
User4,Party2,02:15,1,11-05-2024
User2,Party1,00:30,0,12-05-2024
User1,Party2,04:15,0,13-05-2024
User5,Party5,04:15,0,14-05-2024
User3,Party5,01:00,1,15-05-2024
User8,Party1,00:00,0,16-05-2024
User8,Party1,03:00,1,17-05-2024
User8,Party3,00:30,1,18-05-2024
User3,Party2,04:15,0,19-05-2024
User4,Party3,02:15,0,20-05-2024
User1,Party5,04:30,1,21-05-2024
User6,Party4,02:30,0,22-05-2024
User3,Party4,02:30,1,23-05-2024
User5,Party1,02:15,0,24-05-2024
User6,Party3,01:30,0,25-05-2024
User6,Party5,02:30,1,26-05-2024
User3,Party3,02:30,1,27-05-2024
User6,Party2,04:45,0,28-05-2024
User6,Party5,02:45,1,29-05-2024
User2,Party1,03:00,1,30-05-2024
User10,Party3,03:00,0,31-05-2024
User1,Party4,04:00,0,01-06-2024
User6,Party3,02:15,0,02-06-2024
User6,Party3,03:45,1,03-06-2024
User3,Party2,03:00,0,04-06-2024
User6,Party4,01:45,1,05-06-2024
User4,Party5,02:30,1,06-06-2024
User6,Party4,02:45,1,07-06-2024
User9,Party5,03:00,1,08-06-2024
User2,Party4,02:15,0,09-06-2024
User3,Party3,04:15,1,10-06-2024
User9,Party4,00:30,0,11-06-2024
User6,Party1,01:15,1,12-06-2024
User2,Party4,03:00,0,13-06-2024
User10,Party4,01:00,1,14-06-2024
User6,Party2,01:00,1,15-06-2024
User8,Party4,01:00,0,16-06-2024
User5,Party5,04:00,1,17-06-2024
User5,Party4,02:30,0,18-06-2024
User2,Party4,01:45,0,19-06-2024
User5,Party5,00:45,1,20-06-2024
User7,Party1,03:30,1,21-06-2024
User1,Party5,03:00,1,22-06-2024
User5,Party5,01:30,1,23-06-2024
User10,Party2,01:30,0,24-06-2024
User7,Party2,00:45,0,25-06-2024
User2,Party4,04:30,0,26-06-2024
User1,Party1,00:30,1,27-06-2024
User7,Party4,01:30,1,28-06-2024
User10,Party1,03:30,1,29-06-2024
User5,Party1,04:15,1,30-06-2024
User2,Party2,02:45,0,01-07-2024
User4,Party5,02:15,0,02-07-2024
User5,Party4,02:30,0,03-07-2024
User10,Party3,02:45,1,04-07-2024
User3,Party1,02:15,0,05-07-2024
User2,Party5,04:30,1,06-07-2024
User10,Party1,03:45,0,07-07-2024
User7,Party4,04:15,0,08-07-2024
User3,Party1,04:30,0,09-07-2024
User10,Party1,00:45,0,10-07-2024
User7,Party3,03:00,0,11-07-2024
User3,Party3,01:15,0,12-07-2024
User1,Party1,02:30,1,13-07-2024
User3,Party2,04:45,0,14-07-2024
User3,Party4,03:00,1,15-07-2024
User2,Party5,04:30,1,16-07-2024
User3,Party5,01:15,1,17-07-2024
User1,Party3,00:30,0,18-07-2024
